itemid,locationid,transactiondate,transferquantity
a0W5700000OaJ2cEAF,a0XD000000SKq1hMAD,2020-04-06,-50
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2019-11-13,-4
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2020-02-11,-9
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2019-01-22,-1
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2018-12-05,-5
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2019-08-01,-2
a0W5700000OaJ2cEAF,a0X57000019oxgdEAA,2020-01-09,-2
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2019-08-29,-9
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2020-05-23,-6
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2019-10-31,-6
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2020-05-22,-1
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-04-18,-13
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2020-03-16,-1
a0W5700000OaJ2cEAF,a0XD000000588bmMAA,2019-05-29,-15
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2018-07-12,-1
a0W5700000MYVQOEA5,a0XD000000HELtaMAH,2019-06-26,-4
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2018-08-31,-6
a0W5700000MYVQOEA5,a0XD000000HELtaMAH,2020-01-07,-1
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-01-27,-1
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2020-01-08,-1
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2018-12-16,-1
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2020-03-13,-1
a0W5700000OaJ2cEAF,a0XD000000588bIMAQ,2019-08-12,0
a0W5700000MYVQOEA5,a0X5700000xnRgfEAE,2019-03-12,-1
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-07-06,-1
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-10-01,-7
a0W5700000OaJ2cEAF,a0XD000000588bmMAA,2020-04-28,17
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2020-02-03,-2
a0W5700000MYVQOEA5,a0X57000019oxgEEAQ,2019-04-22,-5
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2019-09-18,-3
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-04-08,-8
a0W5700000MYVQOEA5,a0XD000000588bIMAQ,2018-11-27,0
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2018-07-24,-8
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2019-04-28,-1
a0W5700000MYVQOEA5,a0X5700001C7jz6EAB,2019-10-15,-1
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2019-06-18,-1
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-11-04,2
a0W5700000OaJ2cEAF,a0X5700000hcYHYEA2,2019-11-06,-1
a0W5700000MYVQOEA5,a0X5700000mB0JIEA0,2018-12-20,3
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2018-09-06,-4
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-07-31,-5
a0W5700000MYVQOEA5,a0X5700000mB0JIEA0,2019-10-08,-2
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2020-03-18,-1
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2018-08-20,-8
a0W5700000OaJ2cEAF,a0X57000011fDIcEAM,2019-06-11,7
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-03-17,-2
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2018-10-03,-13
a0W5700000MYVQOEA5,a0XD000000D3A2WMAV,2018-07-12,0
a0W5700000MYVQOEA5,a0XD000000HELtaMAH,2019-02-05,-5
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-11-05,-1
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2020-02-25,-4
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-02-18,-2
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-06-16,-1
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2018-06-23,-1
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2018-08-09,-9
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2020-01-28,-1
a0W5700000MYVQOEA5,a0X57000011fDIhEAM,2018-09-21,-1
a0W5700000OaJ2cEAF,a0X57000011fDIcEAM,2020-01-22,-1
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-03-29,-1
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2020-04-25,-1
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2018-08-13,-7
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2019-05-03,-1
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-06-27,-1
a0W5700000OaJ2cEAF,a0X5700001C7jz6EAB,2019-12-13,-1
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-03-13,-4
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-10-09,-1
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-10-26,1
a0W5700000OaJ2cEAF,a0XD000000588bmMAA,2020-02-02,-1
a0W5700000MYVQOEA5,a0XD000000SKq1hMAD,2019-10-27,-1
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2018-08-03,-2
a0W5700000OaJ2cEAF,a0XD000000D3A2WMAV,2020-05-12,-8
a0W5700000OaJ2cEAF,a0X57000011fDIcEAM,2019-11-03,-3
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2019-09-27,-3
a0W5700000MYVQOEA5,a0XD000000HELtaMAH,2018-09-10,-1
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-06-27,-1
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2019-05-23,-11
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2018-06-18,-1
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-07-03,-9
a0W5700000MYVQOEA5,a0XD000000D3A2WMAV,2018-07-26,-1
a0W5700000OaJ2cEAF,a0XD000000HELtaMAH,2020-04-26,-1
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-11-19,-1
a0W5700000MYVQOEA5,a0XD000000588bIMAQ,2018-12-19,0
a0W5700000OaJ2cEAF,a0XD000000D3A2WMAV,2019-11-07,-1
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2019-10-29,-34
a0W5700000MYVQOEA5,a0XD000000SKq1hMAD,2019-11-22,-2
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2018-06-04,-18
a0W5700000OaJ2cEAF,a0X57000011fDIcEAM,2020-05-16,-1
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2018-09-07,-9
a0W5700000MYVQOEA5,a0XD000000SKq1hMAD,2019-11-19,-2
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2020-01-04,-3
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-05-24,-2
a0W5700000MYVQOEA5,a0X5700001C7jz6EAB,2019-11-25,0
a0W5700000OaJ2cEAF,a0X57000019oxgEEAQ,2019-12-26,-2
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-08-19,-6
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-12-01,-4
a0W5700000MYVQOEA5,a0XD000000HELtaMAH,2018-07-01,-1
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2020-03-17,-5
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-06-03,-14
a0W5700000MYVQOEA5,a0XD000000D3A2WMAV,2018-08-17,-2
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2020-04-04,-2
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2020-02-01,-2
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2018-12-17,-2
a0W5700000OaJ2cEAF,a0X57000011fDIhEAM,2020-01-30,0
a0W5700000OaJ2cEAF,a0XD000000D3A2WMAV,2019-11-22,-42
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2018-11-12,-1
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-02-25,-6
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2018-07-26,-5
a0W5700000MYVQOEA5,a0XD000000SKq1hMAD,2020-01-28,0
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2018-07-21,-2
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2019-02-19,-1
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2019-09-30,-6
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2020-01-30,-5
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2018-08-23,-9
a0W5700000OaJ2cEAF,a0XD000000588bIMAQ,2019-10-31,0
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-08-27,-10
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-08-31,-1
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2020-02-15,-1
a0W5700000OaJ2cEAF,a0X5700000hcYHYEA2,2019-09-12,-2
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2019-09-11,-7
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2020-04-24,-1
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-04-28,-1
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-10-15,-4
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2019-12-04,-1
a0W5700000OaJ2cEAF,a0XD000000588bIMAQ,2019-11-27,-20
a0W5700000OaJ2cEAF,a0X57000019oxgEEAQ,2019-09-19,0
a0W5700000OaJ2cEAF,a0X57000019oxgEEAQ,2019-06-19,-2
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-06-20,-2
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2019-06-15,-1
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2018-10-18,-11
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-10-09,-2
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2020-05-19,-6
a0W5700000OaJ2cEAF,a0XD000000588bmMAA,2019-10-29,-1
a0W5700000MYVQOEA5,a0XD000000SKq1hMAD,2018-09-09,-1
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-09-28,-1
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2019-05-21,-67
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2020-03-31,-1
a0W5700000MYVQOEA5,a0XD000000HELtaMAH,2019-03-22,-1
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2020-02-14,-2
