ItemId,LocationId,BalanceDate,MA30
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-11-17,10.50
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-11-18,10.60
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-11-19,10.73
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-11-20,10.87
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-11-21,11.00
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-11-22,11.13
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-11-23,11.27
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-11-24,11.40
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-11-25,11.50
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-11-26,11.60
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-11-27,11.70
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-11-28,11.80
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-11-29,11.90
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-11-30,12.00
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-12-01,12.10
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-12-02,12.20
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-12-03,12.30
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-12-04,12.40
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-12-05,12.50
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-12-06,12.60
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-12-07,12.70
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-12-08,12.80
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-12-09,12.83
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-12-10,12.87
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-12-11,12.90
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-12-12,12.90
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-12-13,12.90
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-12-14,12.90
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-12-15,12.90
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-12-16,12.93
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-12-17,13.00
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-12-18,13.07
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-12-19,13.10
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-12-20,13.10
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-12-21,13.10
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-12-22,13.10
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-12-23,13.10
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-12-24,13.13
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-12-25,13.17
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-12-26,13.20
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-12-27,13.23
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-12-28,13.27
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-12-29,13.30
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-12-30,13.33
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-12-31,13.37
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-01-01,13.40
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-01-02,13.43
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-01-03,13.47
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-01-04,13.50
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-01-05,13.53
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-01-06,13.57
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-01-07,13.60
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-01-08,13.63
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-01-09,13.67
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-01-10,13.70
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-01-11,13.73
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-01-12,13.77
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-01-13,13.80
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-01-14,13.83
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-01-15,13.87
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-01-16,13.87
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-01-17,13.87
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-01-18,13.87
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-01-19,13.90
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-01-20,13.93
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-01-21,13.97
