ItemId,LocationId,BalanceDate,InventoryBalance
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2018-11-20,76
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2018-11-27,80
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2018-12-11,87
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2018-12-19,92
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2018-12-20,93
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2018-12-23,88
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2018-12-27,57
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2019-01-04,57
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2019-01-07,58
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2019-01-08,47
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2019-01-11,53
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2019-01-16,54
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2019-01-29,52
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2019-02-05,47
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2019-02-27,50
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2019-03-08,44
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2019-03-25,47
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2019-03-27,50
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2019-04-03,58
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2019-04-04,51
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2019-04-10,53
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2019-04-23,61
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2019-04-24,62
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2019-05-06,51
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2019-05-07,55
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2019-05-20,57
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2019-06-04,58
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2019-06-06,57
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2019-06-07,49
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2019-06-12,61
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2019-06-13,63
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2019-06-18,65
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2019-06-24,63
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2019-06-25,58
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2019-06-26,59
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2019-06-27,57
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2019-07-02,65
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2019-07-03,66
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2019-07-10,57
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2019-07-11,55
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2019-07-15,52
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2019-07-18,55
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2019-07-22,56
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2019-07-23,64
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2019-08-06,65
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2019-08-12,54
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2019-08-13,58
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2019-09-09,32
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2019-10-07,36
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2019-10-08,26
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2019-10-30,25
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2019-11-07,22
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2019-11-13,21
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2019-11-14,18
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2020-01-09,17
a0W5700000MYVQOEA5,a0X5700000xnRgfEAE,2018-06-26,1
a0W5700000MYVQOEA5,a0X5700000xnRgfEAE,2018-07-10,0
a0W5700000MYVQOEA5,a0X5700000xnRgfEAE,2018-07-20,2
a0W5700000MYVQOEA5,a0X5700000xnRgfEAE,2018-09-11,3
a0W5700000MYVQOEA5,a0X5700000xnRgfEAE,2018-09-17,4
a0W5700000MYVQOEA5,a0X5700000xnRgfEAE,2018-09-25,7
a0W5700000MYVQOEA5,a0X5700000xnRgfEAE,2018-10-17,11
a0W5700000MYVQOEA5,a0X5700000xnRgfEAE,2018-11-16,11
a0W5700000MYVQOEA5,a0X5700000xnRgfEAE,2018-12-10,9
a0W5700000MYVQOEA5,a0X5700000xnRgfEAE,2018-12-14,2
a0W5700000MYVQOEA5,a0X5700000xnRgfEAE,2018-12-20,4
a0W5700000MYVQOEA5,a0X5700000xnRgfEAE,2019-01-04,2
a0W5700000MYVQOEA5,a0X5700000xnRgfEAE,2019-02-06,3
a0W5700000MYVQOEA5,a0X5700000xnRgfEAE,2019-03-12,2
a0W5700000MYVQOEA5,a0X5700000xnRgfEAE,2019-03-25,3
a0W5700000MYVQOEA5,a0X5700000xnRgfEAE,2019-04-12,2
a0W5700000MYVQOEA5,a0X5700000xnRgfEAE,2019-05-06,3
a0W5700000MYVQOEA5,a0X5700000xnRgfEAE,2019-07-11,1
a0W5700000MYVQOEA5,a0X5700000xnRgfEAE,2019-09-09,0
a0W5700000MYVQOEA5,a0X5700000xnRgkEAE,2018-06-26,1
a0W5700000MYVQOEA5,a0X5700000xnRgkEAE,2018-07-10,3
a0W5700000MYVQOEA5,a0X5700000xnRgkEAE,2018-07-20,4
a0W5700000MYVQOEA5,a0X5700000xnRgkEAE,2018-08-01,8
a0W5700000MYVQOEA5,a0X5700000xnRgkEAE,2018-08-12,6
a0W5700000MYVQOEA5,a0X5700000xnRgkEAE,2018-08-21,7
a0W5700000MYVQOEA5,a0X5700000xnRgkEAE,2018-09-10,3
a0W5700000MYVQOEA5,a0X5700000xnRgkEAE,2018-09-17,7
a0W5700000MYVQOEA5,a0X5700000xnRgkEAE,2018-09-25,9
a0W5700000MYVQOEA5,a0X5700000xnRgkEAE,2018-10-09,3
a0W5700000MYVQOEA5,a0X5700000xnRgkEAE,2018-10-17,6
a0W5700000MYVQOEA5,a0X5700000xnRgkEAE,2018-11-07,5
a0W5700000MYVQOEA5,a0X5700000xnRgkEAE,2018-12-14,3
a0W5700000MYVQOEA5,a0X5700000xnRgkEAE,2019-02-06,3
a0W5700000MYVQOEA5,a0X5700000xnRgkEAE,2019-05-07,1
a0W5700000MYVQOEA5,a0X57000011fDGvEAM,2018-05-29,16
a0W5700000MYVQOEA5,a0X57000011fDGvEAM,2018-06-22,36
a0W5700000MYVQOEA5,a0X57000011fDGvEAM,2018-07-03,37
a0W5700000MYVQOEA5,a0X57000011fDGvEAM,2018-07-05,36
a0W5700000MYVQOEA5,a0X57000011fDGvEAM,2018-07-10,34
a0W5700000MYVQOEA5,a0X57000011fDGvEAM,2018-07-17,36
a0W5700000MYVQOEA5,a0X57000011fDGvEAM,2018-07-20,37
a0W5700000MYVQOEA5,a0X57000011fDGvEAM,2018-07-24,39
a0W5700000MYVQOEA5,a0X57000011fDGvEAM,2018-07-31,37
a0W5700000MYVQOEA5,a0X57000011fDGvEAM,2018-08-07,37
a0W5700000MYVQOEA5,a0X57000011fDGvEAM,2018-08-15,36
a0W5700000MYVQOEA5,a0X57000011fDGvEAM,2018-08-17,38
a0W5700000MYVQOEA5,a0X57000011fDGvEAM,2018-08-22,38
a0W5700000MYVQOEA5,a0X57000011fDGvEAM,2018-08-31,37
a0W5700000MYVQOEA5,a0X57000011fDGvEAM,2018-09-03,39
a0W5700000MYVQOEA5,a0X57000011fDGvEAM,2018-09-04,41
a0W5700000MYVQOEA5,a0X57000011fDGvEAM,2018-09-07,38
a0W5700000MYVQOEA5,a0X57000011fDGvEAM,2018-09-13,39
a0W5700000MYVQOEA5,a0X57000011fDGvEAM,2018-09-14,39
a0W5700000MYVQOEA5,a0X57000011fDGvEAM,2018-09-19,40
a0W5700000MYVQOEA5,a0X57000011fDGvEAM,2018-09-21,40
a0W5700000MYVQOEA5,a0X57000011fDGvEAM,2018-09-25,43
a0W5700000MYVQOEA5,a0X57000011fDGvEAM,2018-09-26,40
a0W5700000MYVQOEA5,a0X57000011fDGvEAM,2018-10-02,39
a0W5700000MYVQOEA5,a0X57000011fDGvEAM,2018-10-03,40
a0W5700000MYVQOEA5,a0X57000011fDGvEAM,2018-10-18,40
a0W5700000MYVQOEA5,a0X57000011fDGvEAM,2018-10-31,41
a0W5700000MYVQOEA5,a0X57000011fDGvEAM,2018-11-01,40
a0W5700000MYVQOEA5,a0X57000011fDGvEAM,2018-11-09,39
a0W5700000MYVQOEA5,a0X57000011fDGvEAM,2018-11-12,39
a0W5700000MYVQOEA5,a0X57000011fDGvEAM,2018-11-29,38
a0W5700000MYVQOEA5,a0X57000011fDGvEAM,2018-12-18,37
a0W5700000MYVQOEA5,a0X57000011fDGvEAM,2018-12-31,35
a0W5700000MYVQOEA5,a0X57000011fDGvEAM,2019-01-16,34
a0W5700000MYVQOEA5,a0X57000011fDGvEAM,2019-01-17,35
a0W5700000MYVQOEA5,a0X57000011fDGvEAM,2019-01-24,34
a0W5700000MYVQOEA5,a0X57000011fDGvEAM,2019-03-22,28
a0W5700000MYVQOEA5,a0X57000011fDGvEAM,2019-04-01,2
a0W5700000MYVQOEA5,a0X57000011fDGvEAM,2019-04-02,0
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-01-28,60
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-01-31,59
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-02-01,58
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-02-06,57
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-02-26,56
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-03-07,39
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-03-22,38
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-03-28,37
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-04-03,34
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-04-17,33
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-04-22,32
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-04-26,30
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-05-07,28
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-05-27,26
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-05-30,24
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-05-31,29
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-06-06,27
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-06-14,26
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-06-20,66
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-06-25,65
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-06-27,66
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-07-02,42
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-07-03,40
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-08-01,39
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-08-05,36
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-08-20,35
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-09-04,27
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-09-10,25
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-09-13,27
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-09-14,21
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-09-23,20
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-09-24,19
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-09-26,17
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-09-30,16
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-10-17,8
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-10-18,7
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-10-29,6
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-12-02,5
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2020-01-07,4
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2020-03-16,3
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2020-04-24,2
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2020-05-08,0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2018-05-31,40
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2018-06-13,27
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2018-06-14,23
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2018-06-19,22
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2018-06-22,21
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2018-07-03,20
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2018-07-06,21
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2018-07-12,20
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2018-07-19,30
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2018-07-30,29
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2018-08-01,28
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2018-08-07,27
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2018-08-21,26
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2018-08-23,25
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2018-08-27,23
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2018-08-29,21
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2018-09-16,19
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2018-09-19,19
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2018-09-20,18
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2018-10-10,17
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2018-10-14,16
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2018-10-17,14
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2018-10-22,2
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2018-10-23,1
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2018-10-25,2
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2018-11-06,3
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2018-11-12,2
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2018-11-13,0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2018-11-14,0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2018-12-03,139
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2018-12-04,135
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2018-12-11,134
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-01-02,133
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-01-07,132
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-01-10,131
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-01-13,130
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-01-15,129
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-01-17,131
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-01-21,132
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-01-23,131
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-01-25,130
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-01-29,129
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-02-01,128
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-02-07,127
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-02-12,124
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-02-14,123
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-02-17,122
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-02-19,121
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-02-20,118
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-02-21,117
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-02-24,116
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-02-26,115
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-03-04,116
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-03-09,115
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-03-13,113
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-03-19,112
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-03-25,111
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-03-26,110
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-04-05,111
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-04-16,107
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-04-17,105
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-04-22,104
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-04-29,103
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-04-30,101
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-05-06,100
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-05-13,99
